Pincode,City,State,Delhivery,GATI,V-Xpress,Safexpress,Movin,DP World,Criticalog,Blue Dart,Baral,DTDC,Ethics,Ethics
332312,Ganganagar,Rajasthan,Serviceable,NSZ,NSZ,Serviceable,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
613202,Thirukkattupalli,Tamil Nadu,Serviceable,Serviceable,ODA-B,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
395345,Surat,Gujarat,Serviceable,NSZ,NSZ,Serviceable,NSZ,NSZ,NSZ,ODA-A,NSZ,Serviceable,NSZ,NSZ
411035,Pune,Maharashtra,Serviceable,NSZ,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,Serviceable,Regular
621651,Thirukkattupalli,Tamil Nadu,ODA-A,ODA-A,ODA-A,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,ODA-B,NSZ,ODA-1
431129,Manjlegaon,Maharashtra,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,ODA-D,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-4
769015,Rourkela,Odisha,Serviceable,NSZ,ODA-C,ODA-A,NSZ,NSZ,NSZ,Serviceable,NSZ,Serviceable,NSZ,NSZ
585422,Bidar,Karnataka,ODA-A,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ
302055,Jaipur,Rajasthan,ODA-A,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ
396171,Bhilad,Gujarat,ODA-A,Serviceable,Serviceable,Serviceable,NSZ,DIRECT,NSZ,Serviceable,NSZ,Serviceable,NSZ,ODA-1
581315,Hubli,Karnataka,ODA-A,ODA-B,ODA-B,Serviceable,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
411044,Pune,Maharashtra,Serviceable,NSZ,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,Serviceable,Regular
713170,Kalna,West Bengal,ODA-A,NSZ,NSZ,ODA-A,NSZ,NSZ,ODA-A,ODA-A,NSZ,NSZ,NSZ,NSZ
770032,Rourkela,Odisha,Serviceable,ODA-A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,Serviceable,NSZ,NSZ
327021,Ghatol,Rajasthan,Serviceable,ODA-A,ODA-C,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
690523,Kollam,Kerala,ODA-A,ODA-A,ODA-A,ODA-A,NSZ,NSZ,Serviceable,ODA-A,NSZ,NSZ,NSZ,NSZ
181124,Jammu,Jammu & Kashmir,Serviceable,Serviceable,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,ODA-1
683575,Aluva,Kerala,ODA-A,ODA-A,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,ODA-A,NSZ,ODA-A,NSZ,ODA-1
591308,Gokak,Karnataka,Serviceable,ODA-B,ODA-C,ODA-A,NSZ,ODA -A,Serviceable,ODA-A,NSZ,NSZ,NSZ,ODA-1
673645,Areacode,Kerala,Serviceable,ODA-A,ODA-A,ODA-A,NSZ,ODA -A,Serviceable,ODA-A,NSZ,NSZ,NSZ,ODA-1
361003,Jamnagar,Gujarat,Serviceable,NSZ,Serviceable,Serviceable,NSZ,DIRECT,NSZ,Serviceable,NSZ,ODA-C,NSZ,ODA-1
574235,Vitla,Karnataka,Serviceable,NSZ,ODA-A,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-1
712121,Hooghly,West Bengal,Serviceable,NSZ,ODA-C,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,ODA-B,NSZ,ODA-1
735304,Mekhliganj,West Bengal,Serviceable,ODA-A,ODA-C,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
606105,Pennadam,Tamil Nadu,ODA-A,ODA-A,ODA-C,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
531117,Narsipatnam,Andhra Pradesh,ODA-A,ODA-A,ODA-C,ODA-A,ODA-A,ODA -B,NSZ,NSZ,NSZ,NSZ,NSZ,ODA-2
685532,Kanjirapalli,Kerala,Serviceable,NSZ,ODA-C,ODA-A,NSZ,NSZ,ODA-A,ODA-A,NSZ,NSZ,NSZ,NSZ
712424,Tarkeshwar,West Bengal,ODA-A,NSZ,ODA-B,ODA-A,NSZ,DIRECT,ODA-A,ODA-A,NSZ,NSZ,NSZ,Regular
721430,Contai,West Bengal,ODA-A,NSZ,ODA-C,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
627012,Tirunelveli,Tamil Nadu,Serviceable,Serviceable,Serviceable,ODA-A,NSZ,DIRECT,Serviceable,ODA-A,NSZ,ODA-D,NSZ,ODA-1
731202,Rampurhat,West Bengal,ODA-A,ODA-A,NSZ,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,ODA-B,NSZ,ODA-2
249132,Tehri Garhwal,Uttarakhand,Serviceable,ODA-B,ODA-C,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
795103,Kakching,Manipur,Serviceable,ODA-B,NSZ,ODA-A,NSZ,NSZ,Serviceable,NSZ,NSZ,NSZ,NSZ,NSZ
151101,Bathinda,Punjab,Serviceable,ODA-A,ODA-B,Serviceable,NSZ,DIRECT,ODA-A,Serviceable,NSZ,ODA-B,NSZ,ODA-1
583281,Ilkal,Karnataka,ODA-A,NSZ,ODA-D,ODA-A,NSZ,ODA -C,NSZ,NSZ,NSZ,NSZ,NSZ,ODA-3
736176,Dinhata,West Bengal,ODA-A,ODA-A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
630710,Paramakudi,Tamil Nadu,ODA-A,ODA-B,ODA-B,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
801108,Bihta,Bihar,ODA-A,ODA-A,ODA-A,ODA-A,NSZ,ODA -B,Serviceable,ODA-A,NSZ,NSZ,NSZ,ODA-1
301001,Alwar,Rajasthan,ODA-A,Serviceable,Serviceable,Serviceable,NSZ,DIRECT,Serviceable,ODA-A,NSZ,NSZ,NSZ,Regular
754022,Salipur,Odisha,ODA-A,NSZ,Serviceable,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,ODA-B,NSZ,ODA-1
795008,Imphal,Manipur,Serviceable,ODA-A,NSZ,ODA-A,NSZ,NSZ,Serviceable,Serviceable,NSZ,NSZ,NSZ,NSZ
490028,Bhilai,Chhattisgarh,Serviceable,NSZ,NSZ,Serviceable,NSZ,DIRECT,NSZ,NSZ,NSZ,NSZ,NSZ,ODA-1
441502,Savner,Maharashtra,ODA-A,ODA-A,ODA-B,Serviceable,ODA-A,ODA -A,ODA-A,ODA-A,NSZ,Serviceable,NSZ,ODA-1
636016,Salem,Tamil Nadu,Serviceable,Serviceable,Serviceable,Serviceable,NSZ,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,Regular
231305,Parora,Uttar Pradesh,ODA-A,ODA-A,ODA-A,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
509352,Makthal,Telangana,ODA-A,ODA-A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,ODA-D,NSZ,NSZ
759125,Kishorenagar,Odisha,Serviceable,ODA-A,NSZ,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
731101,Suri,West Bengal,Serviceable,ODA-A,ODA-B,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,ODA-B,NSZ,ODA-1
686584,Pala,Kerala,ODA-A,ODA-A,Serviceable,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ,NSZ
396238,Silvassa-Dnh,Dadra And Nagar Haveli,ODA-A,NSZ,Serviceable,Serviceable,NSZ,ODA -A,NSZ,NSZ,NSZ,NSZ,NSZ,ODA-1
506144,Ghanpur,Telangana,ODA-A,ODA-A,ODA-A,ODA-A,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ,NSZ
504002,Adilabad,Telangana,ODA-A,NSZ,NSZ,ODA-A,NSZ,NSZ,Serviceable,NSZ,NSZ,NSZ,NSZ,NSZ
770022,Bamra,Odisha,Serviceable,ODA-A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
825301,Hazaribagh,Jharkhand,Serviceable,NSZ,NSZ,ODA-A,NSZ,DIRECT,NSZ,ODA-A,NSZ,ODA-C,NSZ,ODA-1
751009,Bhubaneshwar,Odisha,Serviceable,NSZ,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,Regular
670691,Kuthuparamba,Kerala,Serviceable,ODA-A,ODA-B,ODA-A,NSZ,ODA -C,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-3
768216,Brajrajnagar,Odisha,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,Serviceable,NSZ,ODA-2
764038,Koraput,Odisha,Serviceable,ODA-A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
582205,Gadag,Karnataka,Serviceable,ODA-A,ODA-D,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-1
761003,Behrampur,Odisha,ODA-A,Serviceable,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
506167,Jangaon,Telangana,ODA-A,ODA-A,ODA-B,ODA-A,NSZ,ODA -A,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-1
786184,Chabua,Assam,Serviceable,ODA-A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
788011,Silchar,Assam,Serviceable,ODA-A,NSZ,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,ODA-D,NSZ,ODA-1
508224,Tungaturthi,Telangana,ODA-A,NSZ,ODA-A,ODA-A,NSZ,ODA -C,ODA-A,ODA-A,NSZ,NSZ,NSZ,ODA-3
756165,Bhadrak,Odisha,ODA-A,ODA-A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
768031,Bhatli,Odisha,Serviceable,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ
135003,Yamuna Nagar,Haryana,Serviceable,Serviceable,Serviceable,ODA-A,NSZ,NSZ,ODA-A,Serviceable,NSZ,ODA-B,NSZ,NSZ
560066,Bangalore,Karnataka,Serviceable,NSZ,Serviceable,Serviceable,Serviceable,DIRECT,Serviceable,Serviceable,Serviceable,Serviceable,ODA,Regular
136119,Kurukshetra,Haryana,Serviceable,Serviceable,ODA-B,Serviceable,NSZ,ODA -A,NSZ,Serviceable,NSZ,ODA-C,NSZ,ODA-1
641669,Palladam,Tamil Nadu,ODA-A,NSZ,ODA-A,Serviceable,ODA-A,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
570032,Mysore,Karnataka,Serviceable,NSZ,Serviceable,Serviceable,NSZ,NSZ,Serviceable,NSZ,NSZ,NSZ,NSZ,NSZ
758014,Kendujhar,Odisha,ODA-A,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-A,NSZ,ODA-C,NSZ,NSZ
841427,Gopalganj,Bihar,ODA-A,ODA-A,NSZ,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
754238,Dandisahi,Odisha,Serviceable,NSZ,NSZ,Serviceable,NSZ,ODA -B,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-2
533288,Rampachodavaram,Andhra Pradesh,Serviceable,ODA-A,NSZ,ODA-A,NSZ,NSZ,ODA-A,ODA-A,NSZ,NSZ,NSZ,NSZ
303105,Kotputli,Rajasthan,Serviceable,NSZ,ODA-D,ODA-A,NSZ,ODA -B,Serviceable,ODA-A,NSZ,ODA-C,NSZ,ODA-2
841403,Baniapur,Bihar,ODA-A,ODA-A,NSZ,ODA-A,NSZ,ODA -A,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-1
508206,Kodad,Telangana,ODA-A,NSZ,ODA-C,ODA-A,NSZ,ODA -C,NSZ,Serviceable,NSZ,NSZ,NSZ,ODA-3
713151,Memari,West Bengal,ODA-A,NSZ,NSZ,ODA-A,NSZ,NSZ,ODA-A,ODA-A,NSZ,ODA-B,NSZ,NSZ
614617,Manamelkudi,Tamil Nadu,ODA-A,ODA-A,ODA-C,ODA-A,NSZ,ODA -C,NSZ,ODA-A,NSZ,NSZ,NSZ,ODA-3
721505,Jhargram,West Bengal,ODA-A,NSZ,NSZ,ODA-A,NSZ,ODA -C,Serviceable,ODA-A,NSZ,NSZ,NSZ,ODA-3
585441,Bidar,Karnataka,ODA-A,NSZ,NSZ,ODA-A,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ,NSZ
700133,Kolkata,West Bengal,Serviceable,NSZ,Serviceable,ODA-A,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,Serviceable,NSZ,Regular
731201,Bolpur,West Bengal,ODA-A,ODA-A,ODA-A,ODA-A,NSZ,ODA -B,ODA-A,ODA-A,NSZ,ODA-B,NSZ,ODA-2
629153,Marthandam,Tamil Nadu,Serviceable,ODA-A,ODA-A,ODA-A,NSZ,NSZ,Serviceable,ODA-A,NSZ,NSZ,NSZ,NSZ
700161,Kolkata,West Bengal,ODA-A,NSZ,Serviceable,ODA-A,Serviceable,DIRECT,Serviceable,Serviceable,NSZ,ODA-B,Serviceable,Regular
403410,Goa,Goa,ODA-A,NSZ,ODA-C,ODA-A,NSZ,ODA -A,Serviceable,ODA-A,NSZ,NSZ,NSZ,ODA-1
781376,Baihata,Assam,ODA-A,ODA-A,NSZ,ODA-A,NSZ,ODA -B,NSZ,ODA-A,NSZ,ODA-B,NSZ,ODA-2
